County,Median_Household_Income
"Roberts County, Texas",62667
"Robertson County, Texas",59410
"Rockwall County, Texas",121303
"Runnels County, Texas",55424
"Rusk County, Texas",61661
"Sabine County, Texas",47061
"San Augustine County, Texas",45888
"San Jacinto County, Texas",54839
"San Patricio County, Texas",63842
"San Saba County, Texas",54087
"Schleicher County, Texas",53774
"Scurry County, Texas",58932
"Shackelford County, Texas",60924
"Shelby County, Texas",49231
"Sherman County, Texas",66169
"Smith County, Texas",69053
"Somervell County, Texas",87899
"Starr County, Texas",35979
"Stephens County, Texas",44712
"Sterling County, Texas",63558
"Stonewall County, Texas",66591
"Sutton County, Texas",56778
"Swisher County, Texas",40290
"Tarrant County, Texas",78872
"Taylor County, Texas",61806
"Terrell County, Texas",52813
"Terry County, Texas",42694
"Throckmorton County, Texas",55221
"Titus County, Texas",57634
"Tom Green County, Texas",67215
"Travis County, Texas",92731
"Trinity County, Texas",51165
"Tyler County, Texas",50898
"Upshur County, Texas",60456
"Upton County, Texas",55284
"Uvalde County, Texas",55000
"Val Verde County, Texas",57250
"Van Zandt County, Texas",62334
"Victoria County, Texas",66308
"Walker County, Texas",47193
"Waller County, Texas",71643
"Ward County, Texas",70771
"Washington County, Texas",70043
"Webb County, Texas",59984
"Wharton County, Texas",59712
"Wheeler County, Texas",58158
"Wichita County, Texas",58862
"Wilbarger County, Texas",50769
"Willacy County, Texas",42839
"Williamson County, Texas",102851
"Wilson County, Texas",89708
"Winkler County, Texas",89155
"Wise County, Texas",85385
"Wood County, Texas",61748
"Yoakum County, Texas",80317
"Young County, Texas",65565
"Zapata County, Texas",35061
"Zavala County, Texas",49243
"Beaver County, Utah",80268
"Box Elder County, Utah",72769
"Cache County, Utah",72719
"Carbon County, Utah",53734
"Daggett County, Utah",61250
"Davis County, Utah",101285
"Duchesne County, Utah",70821
"Emery County, Utah",67056
"Garfield County, Utah",56481
"Grand County, Utah",59171
"Iron County, Utah",63005
"Juab County, Utah",88048
"Kane County, Utah",70327
"Millard County, Utah",69403
"Morgan County, Utah",120854
"Piute County, Utah",33359
"Rich County, Utah",69250
"Salt Lake County, Utah",90011
"San Juan County, Utah",52108
"Sanpete County, Utah",64356
"Sevier County, Utah",66972
"Summit County, Utah",126392
"Tooele County, Utah",95545
"Uintah County, Utah",67983
"Utah County, Utah",91263
"Wasatch County, Utah",104855
"Washington County, Utah",71976
"Wayne County, Utah",64870
"Weber County, Utah",82291
"Addison County, Vermont",85870
"Bennington County, Vermont",68558
"Caledonia County, Vermont",62964
"Chittenden County, Vermont",89494
"Essex County, Vermont",55247
"Franklin County, Vermont",73633
"Grand Isle County, Vermont",86639
"Lamoille County, Vermont",69886
"Orange County, Vermont",74534
"Orleans County, Vermont",63981
"Rutland County, Vermont",62641
"Washington County, Vermont",77278
"Windham County, Vermont",65473
"Windsor County, Vermont",69492
"Accomack County, Virginia",52694
"Albemarle County, Virginia",97708
"Alleghany County, Virginia",52546
"Amelia County, Virginia",63438
"Amherst County, Virginia",64454
"Appomattox County, Virginia",60041
"Arlington County, Virginia",137387
"Augusta County, Virginia",76124
"Bath County, Virginia",55699
"Bedford County, Virginia",74773
"Bland County, Virginia",59901
"Botetourt County, Virginia",77680
"Brunswick County, Virginia",52678
"Buchanan County, Virginia",39591
"Buckingham County, Virginia",59894
"Campbell County, Virginia",59022
"Caroline County, Virginia",83562
"Carroll County, Virginia",49113
"Charles City County, Virginia",65573
"Charlotte County, Virginia",51548
"Chesterfield County, Virginia",95757
"Clarke County, Virginia",107475
"Craig County, Virginia",66286
"Culpeper County, Virginia",92359
"Cumberland County, Virginia",56497
"Dickenson County, Virginia",40143
"Dinwiddie County, Virginia",77225
"Essex County, Virginia",52335
"Fairfax County, Virginia",145165
"Fauquier County, Virginia",122785
"Floyd County, Virginia",57146
"Fluvanna County, Virginia",90766
"Franklin County, Virginia",66275
"Frederick County, Virginia",92443
"Giles County, Virginia",61987
"Gloucester County, Virginia",83750
"Goochland County, Virginia",105600
"Grayson County, Virginia",43348
"Greene County, Virginia",81338
"Greensville County, Virginia",51823
"Halifax County, Virginia",49145
"Hanover County, Virginia",104678
"Henrico County, Virginia",82424
"Henry County, Virginia",43694
"Highland County, Virginia",57070
"Isle of Wight County, Virginia",91680
"James City County, Virginia",100711
"King and Queen County, Virginia",70147
"King George County, Virginia",103264
"King William County, Virginia",79398
"Lancaster County, Virginia",62674
"Lee County, Virginia",41619
"Loudoun County, Virginia",170463
"Louisa County, Virginia",76594
"Lunenburg County, Virginia",54438
"Madison County, Virginia",74586
"Mathews County, Virginia",79054
"Mecklenburg County, Virginia",51265
"Middlesex County, Virginia",69389
"Montgomery County, Virginia",65270
"Nelson County, Virginia",64028
"New Kent County, Virginia",113120
"Northampton County, Virginia",54693
"Northumberland County, Virginia",64655
"Nottoway County, Virginia",62366
"Orange County, Virginia",87309
"Page County, Virginia",56760
"Patrick County, Virginia",49180
"Pittsylvania County, Virginia",52619
"Powhatan County, Virginia",108089
"Prince Edward County, Virginia",57304
"Prince George County, Virginia",80318
"Prince William County, Virginia",123193
"Pulaski County, Virginia",59740
"Rappahannock County, Virginia",98663
"Richmond County, Virginia",62708
"Roanoke County, Virginia",80872
"Rockbridge County, Virginia",61903
"Rockingham County, Virginia",73232
"Russell County, Virginia",44088
"Scott County, Virginia",44535
"Shenandoah County, Virginia",62149
"Smyth County, Virginia",45061
"Southampton County, Virginia",67813
"Spotsylvania County, Virginia",105068
"Stafford County, Virginia",128036
"Surry County, Virginia",68655
"Sussex County, Virginia",59195
"Tazewell County, Virginia",46508
"Warren County, Virginia",79313
"Washington County, Virginia",59116
"Westmoreland County, Virginia",56647
"Wise County, Virginia",47541
"Wythe County, Virginia",53921
"York County, Virginia",105154
"Alexandria city, Virginia",113179
"Bristol city, Virginia",45250
"Buena Vista city, Virginia",48783
"Charlottesville city, Virginia",67177
"Chesapeake city, Virginia",92703
"Colonial Heights city, Virginia",72216
"Covington city, Virginia",45737
"Danville city, Virginia",41484
"Emporia city, Virginia",41442
"Fairfax city, Virginia",128708
"Falls Church city, Virginia",164536
"Franklin city, Virginia",57537
"Fredericksburg city, Virginia",83445
"Galax city, Virginia",44612
"Hampton city, Virginia",64430
"Harrisonburg city, Virginia",56050
"Hopewell city, Virginia",50661
"Lexington city, Virginia",93651
"Lynchburg city, Virginia",56243
"Manassas city, Virginia",110559
"Manassas Park city, Virginia",91673
"Martinsville city, Virginia",39127
"Newport News city, Virginia",63355
"Norfolk city, Virginia",60998
"Norton city, Virginia",36974
"Petersburg city, Virginia",46930
"Poquoson city, Virginia",114503
"Portsmouth city, Virginia",57154
"Radford city, Virginia",51039
"Richmond city, Virginia",59606
"Roanoke city, Virginia",51523
"Salem city, Virginia",68402
"Staunton city, Virginia",59731
"Suffolk city, Virginia",87758
"Virginia Beach city, Virginia",87544
"Waynesboro city, Virginia",52519
"Williamsburg city, Virginia",66815
"Winchester city, Virginia",62495
"Adams County, Washington",63105
"Asotin County, Washington",63724
"Benton County, Washington",83778
"Chelan County, Washington",71876
"Clallam County, Washington",66108
"Clark County, Washington",90115
"Columbia County, Washington",68825
"Cowlitz County, Washington",70912
"Douglas County, Washington",79422
"Ferry County, Washington",50424
"Franklin County, Washington",77877
"Garfield County, Washington",57958
"Grant County, Washington",66387
"Grays Harbor County, Washington",59105
"Island County, Washington",82850
"Jefferson County, Washington",64796
"King County, Washington",116340
"Kitsap County, Washington",93675
"Kittitas County, Washington",66800
"Klickitat County, Washington",66581
"Lewis County, Washington",67247
"Lincoln County, Washington",68172
"Mason County, Washington",74388
"Okanogan County, Washington",58218
"Pacific County, Washington",58889
"Pend Oreille County, Washington",59353
"Pierce County, Washington",91486
"San Juan County, Washington",76745
"Skagit County, Washington",82029
"Skamania County, Washington",84500
"Snohomish County, Washington",104083
"Spokane County, Washington",70394
"Stevens County, Washington",62381
"Thurston County, Washington",88895
"Wahkiakum County, Washington",59167
"Walla Walla County, Washington",66635
"Whatcom County, Washington",77581
"Whitman County, Washington",49345
"Yakima County, Washington",64910
"Barbour County, West Virginia",44341
"Berkeley County, West Virginia",73619
"Boone County, West Virginia",56182
"Braxton County, West Virginia",42245
"Brooke County, West Virginia",51963
"Cabell County, West Virginia",48944
"Calhoun County, West Virginia",39031
"Clay County, West Virginia",41530
"Doddridge County, West Virginia",56587
"Fayette County, West Virginia",50090
"Gilmer County, West Virginia",51552
"Grant County, West Virginia",52877
"Greenbrier County, West Virginia",45519
"Hampshire County, West Virginia",55222
"Hancock County, West Virginia",57515
"Hardy County, West Virginia",49205
"Harrison County, West Virginia",56184
"Jackson County, West Virginia",55173
"Jefferson County, West Virginia",93744
"Kanawha County, West Virginia",55226
"Lewis County, West Virginia",50552
"Lincoln County, West Virginia",50985
"Logan County, West Virginia",42194
"McDowell County, West Virginia",28235
"Marion County, West Virginia",59974
"Marshall County, West Virginia",58129
"Mason County, West Virginia",53058
"Mercer County, West Virginia",46409
"Mineral County, West Virginia",64728
"Mingo County, West Virginia",38305
"Monongalia County, West Virginia",60893
"Monroe County, West Virginia",52392
"Morgan County, West Virginia",61021
"Nicholas County, West Virginia",48826
"Ohio County, West Virginia",55521
"Pendleton County, West Virginia",52458
"Pleasants County, West Virginia",59666
"Pocahontas County, West Virginia",41680
"Preston County, West Virginia",60136
"Putnam County, West Virginia",75725
"Raleigh County, West Virginia",47975
"Randolph County, West Virginia",51186
"Ritchie County, West Virginia",48973
"Roane County, West Virginia",41299
"Summers County, West Virginia",42991
"Taylor County, West Virginia",52946
"Tucker County, West Virginia",54053
"Tyler County, West Virginia",59167
"Upshur County, West Virginia",49663
"Wayne County, West Virginia",52694
"Webster County, West Virginia",43409
"Wetzel County, West Virginia",50715
"Wirt County, West Virginia",52776
"Wood County, West Virginia",54350
"Wyoming County, West Virginia",44510
"Adams County, Wisconsin",55223
"Ashland County, Wisconsin",57000
"Barron County, Wisconsin",59379
"Bayfield County, Wisconsin",67266
"Brown County, Wisconsin",74066
"Buffalo County, Wisconsin",64238
"Burnett County, Wisconsin",60466
"Calumet County, Wisconsin",84151
"Chippewa County, Wisconsin",69815
"Clark County, Wisconsin",63187
"Columbia County, Wisconsin",79271
"Crawford County, Wisconsin",60823
"Dane County, Wisconsin",84297
"Dodge County, Wisconsin",71747
"Door County, Wisconsin",68257
"Douglas County, Wisconsin",64682
"Dunn County, Wisconsin",69721
"Eau Claire County, Wisconsin",70127
"Florence County, Wisconsin",58049
"Fond du Lac County, Wisconsin",70368
"Forest County, Wisconsin",55552
"Grant County, Wisconsin",63497
"Green County, Wisconsin",76080
"Green Lake County, Wisconsin",66395
"Iowa County, Wisconsin",79226
"Iron County, Wisconsin",55777
"Jackson County, Wisconsin",64630
"Jefferson County, Wisconsin",77018
"Juneau County, Wisconsin",63455
"Kenosha County, Wisconsin",76583
"Kewaunee County, Wisconsin",77610
"La Crosse County, Wisconsin",68731
"Lafayette County, Wisconsin",69293
"Langlade County, Wisconsin",55091
"Lincoln County, Wisconsin",64314
"Manitowoc County, Wisconsin",66412
"Marathon County, Wisconsin",73248
"Marinette County, Wisconsin",60347
"Marquette County, Wisconsin",59748
"Menominee County, Wisconsin",62194
"Milwaukee County, Wisconsin",59319
"Monroe County, Wisconsin",66451
"Oconto County, Wisconsin",73611
"Oneida County, Wisconsin",66111
"Outagamie County, Wisconsin",78705
"Ozaukee County, Wisconsin",92258
"Pepin County, Wisconsin",70833
"Pierce County, Wisconsin",82996
"Polk County, Wisconsin",74142
"Portage County, Wisconsin",71301
"Price County, Wisconsin",55822
"Racine County, Wisconsin",72658
"Richland County, Wisconsin",61985
"Rock County, Wisconsin",70630
"Rusk County, Wisconsin",57473
"St. Croix County, Wisconsin",97950
"Sauk County, Wisconsin",72930
"Sawyer County, Wisconsin",57519
"Shawano County, Wisconsin",65493
"Sheboygan County, Wisconsin",68969
"Taylor County, Wisconsin",61360
"Trempealeau County, Wisconsin",68474
"Vernon County, Wisconsin",65177
"Vilas County, Wisconsin",63726
"Walworth County, Wisconsin",75172
"Washburn County, Wisconsin",58504
"Washington County, Wisconsin",91915
"Waukesha County, Wisconsin",101639
"Waupaca County, Wisconsin",69198
"Waushara County, Wisconsin",61033
"Winnebago County, Wisconsin",70041
"Wood County, Wisconsin",63273
"Albany County, Wyoming",55887
"Big Horn County, Wyoming",61262
"Campbell County, Wyoming",93315
"Carbon County, Wyoming",65196
"Converse County, Wyoming",79235
"Crook County, Wyoming",68876
"Fremont County, Wyoming",60030
"Goshen County, Wyoming",62356
"Hot Springs County, Wyoming",64031
"Johnson County, Wyoming",60667
"Laramie County, Wyoming",76282
"Lincoln County, Wyoming",83033
"Natrona County, Wyoming",69104
"Niobrara County, Wyoming",54375
"Park County, Wyoming",66754
"Platte County, Wyoming",64753
"Sheridan County, Wyoming",68898
"Sublette County, Wyoming",85960
"Sweetwater County, Wyoming",79375
"Teton County, Wyoming",108279
"Uinta County, Wyoming",78164
"Washakie County, Wyoming",61875
"Weston County, Wyoming",71800
"Adjuntas Municipio, Puerto Rico",17659
"Aguada Municipio, Puerto Rico",20301
"Aguadilla Municipio, Puerto Rico",18348
"Aguas Buenas Municipio, Puerto Rico",23160
"Aibonito Municipio, Puerto Rico",22511
"Añasco Municipio, Puerto Rico",22673
"Arecibo Municipio, Puerto Rico",21799
"Arroyo Municipio, Puerto Rico",18496
"Barceloneta Municipio, Puerto Rico",20282
"Barranquitas Municipio, Puerto Rico",21262
"Bayamón Municipio, Puerto Rico",29403
"Cabo Rojo Municipio, Puerto Rico",23077
"Caguas Municipio, Puerto Rico",29279
"Camuy Municipio, Puerto Rico",23263
"Canóvanas Municipio, Puerto Rico",26021
"Carolina Municipio, Puerto Rico",32888
"Cataño Municipio, Puerto Rico",22407
"Cayey Municipio, Puerto Rico",26704
"Ceiba Municipio, Puerto Rico",22945
"Ciales Municipio, Puerto Rico",19618
"Cidra Municipio, Puerto Rico",25580
"Coamo Municipio, Puerto Rico",20569
"Comerío Municipio, Puerto Rico",16153
"Corozal Municipio, Puerto Rico",21670
"Culebra Municipio, Puerto Rico",25483
"Dorado Municipio, Puerto Rico",31485
"Fajardo Municipio, Puerto Rico",24309
"Florida Municipio, Puerto Rico",21560
"Guánica Municipio, Puerto Rico",14525
"Guayama Municipio, Puerto Rico",19165
"Guayanilla Municipio, Puerto Rico",21312
"Guaynabo Municipio, Puerto Rico",43304
"Gurabo Municipio, Puerto Rico",39533
"Hatillo Municipio, Puerto Rico",24407
"Hormigueros Municipio, Puerto Rico",22542
"Humacao Municipio, Puerto Rico",25940
"Isabela Municipio, Puerto Rico",19965
"Jayuya Municipio, Puerto Rico",18363
"Juana Díaz Municipio, Puerto Rico",23035
"Juncos Municipio, Puerto Rico",25931
"Lajas Municipio, Puerto Rico",17131
"Lares Municipio, Puerto Rico",18844
"Las Marías Municipio, Puerto Rico",16506
"Las Piedras Municipio, Puerto Rico",23193
"Loíza Municipio, Puerto Rico",21306
"Luquillo Municipio, Puerto Rico",22585
"Manatí Municipio, Puerto Rico",20385
"Maricao Municipio, Puerto Rico",20133
"Maunabo Municipio, Puerto Rico",21951
"Mayagüez Municipio, Puerto Rico",16788
"Moca Municipio, Puerto Rico",20331
"Morovis Municipio, Puerto Rico",22282
"Naguabo Municipio, Puerto Rico",20486
"Naranjito Municipio, Puerto Rico",20616
"Orocovis Municipio, Puerto Rico",16869
"Patillas Municipio, Puerto Rico",20778
"Peñuelas Municipio, Puerto Rico",20072
"Ponce Municipio, Puerto Rico",18994
"Quebradillas Municipio, Puerto Rico",20209
"Rincón Municipio, Puerto Rico",26771
"Río Grande Municipio, Puerto Rico",25963
"Sabana Grande Municipio, Puerto Rico",20464
"Salinas Municipio, Puerto Rico",20123
"San Germán Municipio, Puerto Rico",17862
"San Juan Municipio, Puerto Rico",26111
"San Lorenzo Municipio, Puerto Rico",19629
"San Sebastián Municipio, Puerto Rico",17557
"Santa Isabel Municipio, Puerto Rico",22680
"Toa Alta Municipio, Puerto Rico",32456
"Toa Baja Municipio, Puerto Rico",28719
"Trujillo Alto Municipio, Puerto Rico",35821
"Utuado Municipio, Puerto Rico",17164
"Vega Alta Municipio, Puerto Rico",24778
"Vega Baja Municipio, Puerto Rico",23701
"Vieques Municipio, Puerto Rico",17062
"Villalba Municipio, Puerto Rico",22461
"Yabucoa Municipio, Puerto Rico",19972
"Yauco Municipio, Puerto Rico",19827
